owner_id,title,image_url,ingredients,instructions,categories
3c1d2db6-ba02-4e80-94d7-384e76b4bf1d,"Tostadas francesas","https://images.unsplash.com/photo-1484723091739-30a097e8f929","{""pan"",""huevo"",""leche"",""azucar"",""canela""}","Batí huevo con leche, azúcar y canela. Remojá el pan y doralo en sartén con manteca.","{""DESAYUNO"",""DULCE""}"
3c1d2db6-ba02-4e80-94d7-384e76b4bf1d,"Ensalada César simple","https://images.unsplash.com/photo-1550304943-4f24f54ddde9","{""lechuga"",""pollo"",""croutons"",""queso parmesano"",""aderezo cesar""}","Mezclá lechuga con pollo en tiras. Sumá croutons y parmesano. Agregá aderezo y serví.","{""ENSALADA"",""LIGHT""}"
3c1d2db6-ba02-4e80-94d7-384e76b4bf1d,"Pasta al pesto","https://images.unsplash.com/photo-1523986371872-9d3ba2e2f642","{""pasta"",""albahaca"",""ajo"",""piñones"",""parmesano"",""aceite de oliva""}","Procesá albahaca, ajo, piñones, parmesano y aceite. Mezclá con la pasta cocida y listo.","{""PLATO_CALIENTE"",""VEGETARIANA""}"
3c1d2db6-ba02-4e80-94d7-384e76b4bf1d,"Omelette de queso","https://images.unsplash.com/photo-1551183053-bf91a1d81141","{""huevos"",""queso"",""sal"",""pimienta"",""manteca""}","Batí huevos con sal y pimienta. Cociná en sartén con manteca y agregá queso antes de plegar.","{""DESAYUNO"",""PLATO_CALIENTE""}"
3c1d2db6-ba02-4e80-94d7-384e76b4bf1d,"Brownies clásicos","https://images.unsplash.com/photo-1606313564200-e75d5e30476c","{""chocolate"",""manteca"",""azucar"",""huevos"",""harina""}","Derretí chocolate con manteca. Sumá azúcar y huevos. Integrá harina. Horneá 20-25 min.","{""POSTRE""}"
3c1d2db6-ba02-4e80-94d7-384e76b4bf1d,"Guacamole rápido","https://images.unsplash.com/photo-1526318472351-c75fcf070305","{""palta"",""lima"",""cebolla"",""tomate"",""sal""}","Pisá la palta con jugo de lima. Agregá cebolla y tomate picados. Sal a gusto.","{""ENTRADA"",""VEGANA"",""LIGHT""}"
3c1d2db6-ba02-4e80-94d7-384e76b4bf1d,"Pollo al horno con papas","https://images.unsplash.com/photo-1544025162-d76694265947","{""pollo"",""papas"",""ajo"",""romero"",""aceite"",""sal""}","Condimentá pollo y papas. Horneá a 200°C hasta dorar (40-60 min según tamaño).","{""PLATO_CALIENTE""}"
3c1d2db6-ba02-4e80-94d7-384e76b4bf1d,"Sopa crema de calabaza","https://images.unsplash.com/photo-1604908554139-9bdc5c7cdb65","{""calabaza"",""cebolla"",""caldo"",""crema"",""sal""}","Rehogá cebolla, sumá calabaza y caldo. Herví, procesá y terminá con crema y sal.","{""PLATO_CALIENTE"",""LIGHT""}"
3c1d2db6-ba02-4e80-94d7-384e76b4bf1d,"Tacos de verduras","https://images.unsplash.com/photo-1552332386-f8dd00dc2f85","{""tortillas"",""morron"",""cebolla"",""zucchini"",""lima""}","Salteá verduras. Calentá tortillas y armá con verduras. Terminá con lima.","{""PLATO_CALIENTE"",""VEGANA""}"
3c1d2db6-ba02-4e80-94d7-384e76b4bf1d,"Yogur con granola y frutas","https://images.unsplash.com/photo-1511690743698-d9d85f2fbf38","{""yogur"",""granola"",""banana"",""frutillas"",""miel""}","Serví yogur, agregá granola y frutas. Terminá con miel (opcional).","{""DESAYUNO"",""LIGHT""}"
